YS MEMOIRE UNUSED FONT CODE ANALYSIS
==============================================================================================================

FONT CHARACTERS: 7935
GAME FILES SCANNED: 837
USED UNICODE CODES: 9402
UNUSED FONT CODES: 451

UNUSED BY CATEGORY
--------------------------------------------------------------------------------------------------------------
OTHER                    363
LATIN1                   88

==============================================================================================================
UNUSED CODES
==============================================================================================================
index=   15 code=U+017B char='Ż'          addr=0x58DEB CP932=UNENCODABLE
index=   30 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index=   31 code=U+00C0 char='À'          addr=0x29138 CP932=UNENCODABLE
index=   61 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index=   62 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index=   64 code=U+0100 char='Ā'          addr=0x41AE2 CP932=UNENCODABLE
index=   65 code=U+040C char='Ќ'          addr=0x6DA80 CP932=UNENCODABLE
index=  123 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index=  124 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index=  125 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index=  126 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index=  128 code=U+00A0 char='\xa0'       addr=0x21C77 CP932=UNENCODABLE
index=  129 code=U+00E0 char='à'          addr=0x38309 CP932=UNENCODABLE
index=  130 code=U+0138 char='ĸ'          addr=0x4D021 CP932=UNENCODABLE
index=  247 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index=  248 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index=  249 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index=  250 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index=  251 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index=  252 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index=  253 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index=  254 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index=  259 code=U+00D0 char='Ð'          addr=0x3071E CP932=UNENCODABLE
index=  260 code=U+00F0 char='ð'          addr=0x3C70B CP932=UNENCODABLE
index=  261 code=U+0122 char='Ģ'          addr=0x48129 CP932=UNENCODABLE
index=  262 code=U+0157 char='ŗ'          addr=0x52D64 CP932=UNENCODABLE
index=  267 code=U+045F char='џ'          addr=0x8FD60 CP932=UNENCODABLE
index=  495 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index=  496 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index=  497 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index=  498 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index=  499 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index=  500 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index=  501 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index=  502 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index=  503 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index=  504 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index=  505 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index=  506 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index=  507 code=U+FFFFFFFF char=''           addr=0x0 CP932=
